time,lat,lon,mean_temp
01-01-2066,51.04166627,-114.0416677,8.42
01-01-2067,51.04166627,-114.0416677,8.78
01-01-2068,51.04166627,-114.0416677,8.21
01-01-2069,51.04166627,-114.0416677,9.26
01-01-2070,51.04166627,-114.0416677,8.63
01-01-2071,51.04166627,-114.0416677,8.36
01-01-2072,51.04166627,-114.0416677,8.38
01-01-2073,51.04166627,-114.0416677,8.54
01-01-2074,51.04166627,-114.0416677,8.43
01-01-2075,51.04166627,-114.0416677,8.75
01-01-2076,51.04166627,-114.0416677,8.47
01-01-2077,51.04166627,-114.0416677,8.75
01-01-2078,51.04166627,-114.0416677,8.55
01-01-2079,51.04166627,-114.0416677,8.65
01-01-2080,51.04166627,-114.0416677,9.55
01-01-2081,51.04166627,-114.0416677,9.37
01-01-2082,51.04166627,-114.0416677,9.8
01-01-2083,51.04166627,-114.0416677,9.96
01-01-2084,51.04166627,-114.0416677,9.49
01-01-2085,51.04166627,-114.0416677,9.87
01-01-2086,51.04166627,-114.0416677,10.3
01-01-2087,51.04166627,-114.0416677,9.76
01-01-2088,51.04166627,-114.0416677,10.1
01-01-2089,51.04166627,-114.0416677,10.2
01-01-2090,51.04166627,-114.0416677,10.13
01-01-2091,51.04166627,-114.0416677,10.39
01-01-2092,51.04166627,-114.0416677,10.56
01-01-2093,51.04166627,-114.0416677,10.84
01-01-2094,51.04166627,-114.0416677,11.51
01-01-2095,51.04166627,-114.0416677,10.48
01-01-2096,51.04166627,-114.0416677,10.24
01-01-2097,51.04166627,-114.0416677,10.56
01-01-2098,51.04166627,-114.0416677,11.05
01-01-2099,51.04166627,-114.0416677,11.61
01-01-2100,51.04166627,-114.0416677,10.93
